loan_id,due_date,amount_due,amount_paid,payment_date
LN1000,2023-01-01,7432,0,
LN1000,2023-01-31,7580,0,
LN1000,2023-03-02,6919,0,
LN1000,2023-04-01,2922,0,
LN1000,2023-05-01,6527,0,
LN1000,2023-05-31,6856,6856,2023-06-01
LN1000,2023-06-30,6340,6340,2023-07-05
LN1000,2023-07-30,2678,0,
LN1000,2023-08-29,4271,0,
LN1000,2023-09-28,3357,3357,2023-10-03
LN1000,2023-10-28,6008,0,
LN1000,2023-11-27,4062,0,
LN1000,2023-12-27,2659,2659,2023-12-27
LN1000,2024-01-26,5665,5665,2024-01-31
LN1000,2024-02-25,3497,3497,2024-03-01
LN1000,2024-03-26,3220,0,
LN1000,2024-04-25,2317,2317,2024-04-26
LN1000,2024-05-25,5586,5586,2024-05-25
LN1000,2024-06-24,5739,5739,2024-06-29
LN1000,2024-07-24,2108,2108,2024-07-24
LN1000,2024-08-23,4698,0,
LN1000,2024-09-22,1982,1982,2024-09-22
LN1000,2024-10-22,6598,6598,2024-10-23
LN1000,2024-11-21,5670,5670,2024-11-22
LN1000,2024-12-21,2793,2793,2024-12-22
LN1000,2025-01-20,7799,0,
LN1000,2025-02-19,4173,0,
LN1000,2025-03-21,4073,0,
LN1000,2025-04-20,5053,0,
LN1000,2025-05-20,5530,0,
LN1000,2025-06-19,2733,2733,2025-06-19
LN1000,2025-07-19,4129,4129,2025-07-20
LN1000,2025-08-18,3209,3209,2025-08-19
LN1000,2025-09-17,3355,0,
LN1000,2025-10-17,3024,3024,2025-10-22
LN1000,2025-11-16,5207,0,
LN1001,2023-01-01,2779,0,
LN1001,2023-01-31,5978,0,
LN1001,2023-03-02,1730,1730,2023-03-03
LN1001,2023-04-01,4821,4821,2023-04-02
LN1001,2023-05-01,5540,0,
LN1001,2023-05-31,6030,0,
LN1001,2023-06-30,3082,3082,2023-07-05
LN1001,2023-07-30,4293,4293,2023-07-31
LN1001,2023-08-29,2219,2219,2023-08-29
LN1001,2023-09-28,5532,5532,2023-09-29
LN1001,2023-10-28,2717,0,
LN1001,2023-11-27,1836,0,
LN1001,2023-12-27,7444,7444,2023-12-27
LN1001,2024-01-26,2193,0,
LN1001,2024-02-25,5546,0,
LN1001,2024-03-26,4280,4280,2024-03-31
LN1001,2024-04-25,4448,4448,2024-04-30
LN1001,2024-05-25,7052,7052,2024-05-30
LN1001,2024-06-24,5359,5359,2024-06-29
LN1001,2024-07-24,4950,4950,2024-07-25
LN1001,2024-08-23,4307,4307,2024-08-28
LN1001,2024-09-22,6689,0,
LN1001,2024-10-22,5400,0,
LN1001,2024-11-21,7659,7659,2024-11-22
LN1001,2024-12-21,4884,0,
LN1001,2025-01-20,3517,3517,2025-01-20
LN1001,2025-02-19,3253,0,
LN1001,2025-03-21,2864,0,
LN1001,2025-04-20,3193,3193,2025-04-21
LN1001,2025-05-20,2243,0,
LN1001,2025-06-19,6041,0,
LN1001,2025-07-19,1989,0,
LN1001,2025-08-18,7685,0,
LN1001,2025-09-17,7307,7307,2025-09-18
LN1001,2025-10-17,7891,7891,2025-10-17
LN1001,2025-11-16,4279,4279,2025-11-17
LN1002,2023-01-01,4353,4353,2023-01-02
LN1002,2023-01-31,3130,3130,2023-02-05
LN1002,2023-03-02,5193,0,
LN1002,2023-04-01,5889,5889,2023-04-02
LN1002,2023-05-01,5166,5166,2023-05-02
LN1002,2023-05-31,6170,0,
LN1002,2023-06-30,5934,5934,2023-06-30
LN1002,2023-07-30,1736,0,
LN1002,2023-08-29,4450,0,
LN1002,2023-09-28,5385,5385,2023-10-03
LN1002,2023-10-28,4395,4395,2023-10-28
LN1002,2023-11-27,7633,0,
LN1003,2023-01-01,3396,3396,2023-01-06
LN1003,2023-01-31,5698,0,
LN1003,2023-03-02,6182,0,
LN1003,2023-04-01,6212,6212,2023-04-02
LN1003,2023-05-01,2023,2023,2023-05-01
LN1003,2023-05-31,7805,7805,2023-06-05
LN1003,2023-06-30,1726,0,
LN1003,2023-07-30,5009,5009,2023-07-30
LN1003,2023-08-29,2285,0,
LN1003,2023-09-28,5787,0,
LN1003,2023-10-28,3650,3650,2023-10-29
LN1003,2023-11-27,4590,0,
LN1004,2023-01-01,3016,3016,2023-01-02
LN1004,2023-01-31,2483,2483,2023-02-05
LN1004,2023-03-02,4599,4599,2023-03-07
LN1004,2023-04-01,2835,0,
LN1004,2023-05-01,4642,4642,2023-05-06
LN1004,2023-05-31,4539,4539,2023-06-01
LN1004,2023-06-30,4082,0,
LN1004,2023-07-30,4967,0,
LN1004,2023-08-29,1513,1513,2023-08-29
LN1004,2023-09-28,5534,0,
LN1004,2023-10-28,3989,3989,2023-11-02
LN1004,2023-11-27,6176,0,
LN1004,2023-12-27,2318,2318,2023-12-27
LN1004,2024-01-26,6474,0,
LN1004,2024-02-25,2435,0,
LN1004,2024-03-26,1918,1918,2024-03-27
LN1004,2024-04-25,7752,0,
LN1004,2024-05-25,7058,7058,2024-05-30
LN1004,2024-06-24,3485,3485,2024-06-24
LN1004,2024-07-24,7022,0,
LN1004,2024-08-23,4796,0,
LN1004,2024-09-22,6715,0,
LN1004,2024-10-22,6350,0,
LN1004,2024-11-21,6493,0,
LN1004,2024-12-21,2789,2789,2024-12-21
LN1004,2025-01-20,6903,0,
LN1004,2025-02-19,2560,0,
LN1004,2025-03-21,2883,0,
LN1004,2025-04-20,7644,7644,2025-04-25
LN1004,2025-05-20,4658,4658,2025-05-25
LN1004,2025-06-19,3183,0,
LN1004,2025-07-19,6298,6298,2025-07-20
LN1004,2025-08-18,7057,7057,2025-08-19
LN1004,2025-09-17,2681,2681,2025-09-17
